name,symbol,Date,closingprice
Wells Fargo&Co,WFC,4/30/2021 0:00,45.05
Manitowoc,MTW,4/30/2021 0:00,22.88
Walmart,WMT,4/30/2021 0:00,139.91
Edison,EIX,4/30/2021 0:00,59.45
KB Home,KBH,4/30/2021 0:00,48.23
Snap-On,SNA,4/30/2021 0:00,237.6
Allegheny Technologies,ATI,4/30/2021 0:00,23.26
Xerox,XRX,4/30/2021 0:00,24.14
Equifax,EFX,4/30/2021 0:00,229.23
Gold Fields ADR,GFI,4/30/2021 0:00,9.38
McKesson,MCK,4/30/2021 0:00,187.56
Entergy,ETR,4/30/2021 0:00,109.29
CMS Energy,CMS,4/30/2021 0:00,64.39
Honda Motor ADR,HMC,4/30/2021 0:00,29.82
Ameriprise Financial,AMP,4/30/2021 0:00,258.4
AIG,AIG,4/30/2021 0:00,48.45
Ralph Lauren A,RL,4/30/2021 0:00,133.29
Leggett&Platt,LEG,4/30/2021 0:00,49.67
L Brands,LB,4/30/2021 0:00,65.9
IFF,IFF,4/30/2021 0:00,142.17
Petroleo Brasileiro Petrobras ADR,PBR,4/30/2021 0:00,8.48
M/I Homes,MHO,4/30/2021 0:00,69.72
WW Grainger,GWW,4/30/2021 0:00,433.54
Constellation Brands A,STZ,4/30/2021 0:00,240.32
American Tower,AMT,4/30/2021 0:00,254.77
Grupo Televisa ADR,TV,4/30/2021 0:00,12.38
Philip Morris,PM,4/30/2021 0:00,95
Fidelity National Info,FIS,4/30/2021 0:00,152.9
Altria,MO,4/30/2021 0:00,47.75
El Paso Energy Capital Trust I,EP_pc,4/30/2021 0:00,49.87
Stewart Info Services,STC,4/30/2021 0:00,58.65
Ball,BLL,4/30/2021 0:00,93.64
Hartford,HIG,4/30/2021 0:00,65.96
Hershey,HSY,4/30/2021 0:00,164.3
Site Centers,SITC,4/30/2021 0:00,14.75
DXC Technology,DXC,4/30/2021 0:00,32.91
Morgan Stanley,MS,4/30/2021 0:00,82.55
PNC Financial,PNC,4/30/2021 0:00,186.95
Waste Management,WM,4/30/2021 0:00,137.97
AmerisourceBergen,ABC,4/30/2021 0:00,120.8
Assurant,AIZ,4/30/2021 0:00,155.6
Kroger,KR,4/30/2021 0:00,36.54
Molson Coors Brewing B,TAP,4/30/2021 0:00,54.95
Home Depot,HD,4/30/2021 0:00,323.67
Becton Dickinson,BDX,4/30/2021 0:00,248.81
Arch Coal,ARCH,4/30/2021 0:00,44.41
JM Smucker,SJM,4/30/2021 0:00,130.99
VMware,VMW,4/30/2021 0:00,160.83
Sealed Air,SEE,4/30/2021 0:00,49.4
Best Buy,BBY,4/30/2021 0:00,116.27
Archer-Daniels-Midland,ADM,4/30/2021 0:00,63.13
Brown Forman,BFb,4/30/2021 0:00,76.28
IBM,IBM,4/30/2021 0:00,141.88
Union Pacific,UNP,4/30/2021 0:00,222.09
China Fund,CHN,4/30/2021 0:00,29.74
Sony ADR,SNE,4/30/2021 0:00,100.16
Ryder System,R,4/30/2021 0:00,79.84
SLM,SLM,4/30/2021 0:00,19.66
Micron,MU,4/30/2021 0:00,86.07
Avery Dennison,AVY,4/30/2021 0:00,214.17
Weatherford,WFTIQ,4/30/2021 0:00,10.6
Marathon Oil,MRO,4/30/2021 0:00,11.26
CF Industries,CF,4/30/2021 0:00,48.63
Apache,APA,4/30/2021 0:00,20
Duke Energy,DUK,4/30/2021 0:00,100.69
KeyCorp,KEY,4/30/2021 0:00,21.76
Teradata,TDC,4/30/2021 0:00,49.47
Synovus,SNV,4/30/2021 0:00,46.86
Wheaton Precious Metals,WPM,4/30/2021 0:00,41.32
Laboratory America,LH,4/30/2021 0:00,265.87
Boston Properties,BXP,4/30/2021 0:00,109.35
Western Digital,WDC,4/30/2021 0:00,70.63
PPG Industries,PPG,4/30/2021 0:00,171.24
S&P Global,SPGI,4/30/2021 0:00,390.39
Abercrombie&Fitch,ANF,4/30/2021 0:00,37.49
Williams,WMB,4/30/2021 0:00,24.36
Anthem,ANTM,4/30/2021 0:00,379.39
Brunswick,BC,4/30/2021 0:00,107.13
Jacobs Engineering,JEC,4/30/2021 0:00,133.61
Eastman Chemical,EMN,4/30/2021 0:00,115.39
Verizon,VZ,4/30/2021 0:00,57.79
Nucor,NUE,4/30/2021 0:00,82.26
Omnicom,OMC,4/30/2021 0:00,82.26
NewYork Times,NYT,4/30/2021 0:00,45.41
Lincoln National,LNC,4/30/2021 0:00,64.13
UBS Group,UBS,4/30/2021 0:00,15.29
National Oilwell Varco,NOV,4/30/2021 0:00,14.95
AvalonBay,AVB,4/30/2021 0:00,192
Marriott Int,MAR,4/30/2021 0:00,148.52
Ingersoll-Rand,IR,4/30/2021 0:00,49.41
Bristol-Myers Squibb,BMY,4/30/2021 0:00,62.42
Genworth,GNW,4/30/2021 0:00,4.32
American Electric Power,AEP,4/30/2021 0:00,88.71
Thermo Fisher Scientific,TMO,4/30/2021 0:00,470.23
Kohls Corp,KSS,4/30/2021 0:00,58.66
Newmont Goldcorp,NEM,4/30/2021 0:00,62.41
Graham Holdings,GHC,4/30/2021 0:00,635.61
Tata Motors ADR,TTM,4/30/2021 0:00,19.35
Public Storage,PSA,4/30/2021 0:00,281.16
Travelers,TRV,4/30/2021 0:00,154.66
Stanley Black Decker,SWK,4/30/2021 0:00,206.77
MBIA,MBI,4/30/2021 0:00,10.02
HDFC Bank ADR,HDB,4/30/2021 0:00,70.28
Nippon ADR,NTTYY,4/30/2021 0:00,25.3
Franklin Resources,BEN,4/30/2021 0:00,30
Humana,HUM,4/30/2021 0:00,445.24
H&R Block,HRB,4/30/2021 0:00,22.26
Viacom B,VIAB,4/30/2021 0:00,41.02
Unum,UNM,4/30/2021 0:00,28.26
Chubb,CB,4/30/2021 0:00,171.59
Jefferies Financial,JEF,4/30/2021 0:00,32.51
J&J,JNJ,4/30/2021 0:00,162.73
Tyson Foods,TSN,4/30/2021 0:00,77.45
Target,TGT,4/30/2021 0:00,207.26
Jabil Circuit,JBL,4/30/2021 0:00,52.42
American Express,AXP,4/30/2021 0:00,153.35
America Movil ADR,AMX,4/30/2021 0:00,13.94
Masco,MAS,4/30/2021 0:00,63.88
United States Steel,X,4/30/2021 0:00,23.01
Stryker,SYK,4/30/2021 0:00,262.63
Mitsubishi UFJ Financial ADR,MUFG,4/30/2021 0:00,5.37
Discover,DFS,4/30/2021 0:00,114
Prudential Financial,PRU,4/30/2021 0:00,100.36
Abbott Labs,ABT,4/30/2021 0:00,120.08
General Electric,GE,4/30/2021 0:00,13.12
Oi ADR Pref,OIBRQ,4/30/2021 0:00,0.399
Meredith,MDP,4/30/2021 0:00,31.1
Quest Diagnostics,DGX,4/30/2021 0:00,131.88
United Parcel Service,UPS,4/30/2021 0:00,203.86
Yamana Gold,AUY,4/30/2021 0:00,4.59
CVS Health Corp,CVS,4/30/2021 0:00,76.4
ITT,ITT,4/30/2021 0:00,94.31
PPL,PPL,4/30/2021 0:00,29.13
Robert Half,RHI,4/30/2021 0:00,87.61
Simon Property,SPG,4/30/2021 0:00,121.74
ICICI Bank ADR,IBN,4/30/2021 0:00,16.3
Big Lots,BIG,4/30/2021 0:00,68.94
Johnson Controls,JCI,4/30/2021 0:00,62.34
Cummins,CMI,4/30/2021 0:00,252.04
Allstate,ALL,4/30/2021 0:00,126.8
Sempra Energy,SRE,4/30/2021 0:00,137.57
Devon Energy,DVN,4/30/2021 0:00,23.38
ConAgra Foods,CAG,4/30/2021 0:00,37.09
TJX,TJX,4/30/2021 0:00,71
Whirlpool,WHR,4/30/2021 0:00,236.45
Range Resources,RRC,4/30/2021 0:00,9.82
FirstEnergy,FE,4/30/2021 0:00,37.92
Hovnanian Enterprises,HOV,4/30/2021 0:00,132.59
Torchmark,GL,4/30/2021 0:00,102.49
United Technologies,UTX,4/30/2021 0:00,83.24
PulteGroup,PHM,4/30/2021 0:00,59.12
Wyndham,WYND,4/30/2021 0:00,64.53
Valero Energy,VLO,4/30/2021 0:00,73.96
IGT,IGT,4/30/2021 0:00,17.22
Boston Scientific,BSX,4/30/2021 0:00,43.6
Frontier Com,FTR,4/30/2021 0:00,0.059
Capital One Financial,COF,4/30/2021 0:00,149.08
Pacific Gas&Electric,PCG,4/30/2021 0:00,11.32
Norfolk Southern,NSC,4/30/2021 0:00,279.24
Aflac,AFL,4/30/2021 0:00,53.73
Harley-Davidson,HOG,4/30/2021 0:00,48.37
Equity Residential,EQR,4/30/2021 0:00,74.23
Pitney Bowes,PBI,4/30/2021 0:00,7.47
Air Products,APD,4/30/2021 0:00,288.48
First Horizon National,FHN,4/30/2021 0:00,18.29
Principal Financial,PFG,4/30/2021 0:00,63.87
Texas Instruments,TXN,4/30/2021 0:00,180.51
Grupo Aeroportuario Sureste ADR,ASR,4/30/2021 0:00,170.1
HP Inc,HPQ,4/30/2021 0:00,34.11
Coca-Cola European,CCEP,4/30/2021 0:00,56.82
Honeywell,HON,4/30/2021 0:00,223.04
Nomura ADR,NMR,4/30/2021 0:00,5.44
AMD,AMD,4/30/2021 0:00,81.62
M&T Bank,MTB,4/30/2021 0:00,157.69
NCR,NCR,4/30/2021 0:00,45.75
Mosaic,MOS,4/30/2021 0:00,35.18
PerkinElmer,PKI,4/30/2021 0:00,129.63
Las Vegas Sands,LVS,4/30/2021 0:00,61.26
Freeport-McMoran,FCX,4/30/2021 0:00,37.71
AutoZone,AZO,4/30/2021 0:00,1464.12
Nabors Industries,NBR,4/30/2021 0:00,80.85
Sysco,SYY,4/30/2021 0:00,84.73
Tenet Healthcare,THC,4/30/2021 0:00,59.26
Ameren,AEE,4/30/2021 0:00,84.84
Industrias Bachoco ADR,IBA,4/30/2021 0:00,44.47
Eaton,ETN,4/30/2021 0:00,142.93
MFC Bancorp,SRL,4/30/2021 0:00,10.66
Coca Cola Femsa ADR,KOF,4/30/2021 0:00,46.97
Salesforce.com,CRM,4/30/2021 0:00,230.32
Actuant,EPAC,4/30/2021 0:00,26.6
Consolidated Edison,ED,4/30/2021 0:00,77.41
The AES,AES,4/30/2021 0:00,27.82
Transocean,RIG,4/30/2021 0:00,3.22
Apartment Invest,AIV,4/30/2021 0:00,6.94
Textron,TXT,4/30/2021 0:00,64.24
Unisys,UIS,4/30/2021 0:00,24
Federated Investors B,FII,4/30/2021 0:00,28.8
US Bancorp,USB,4/30/2021 0:00,59.35
Comerica,CMA,4/30/2021 0:00,75.16
Visa A,V,4/30/2021 0:00,233.56
MGIC Investment,MTG,4/30/2021 0:00,15.24
Baker Hughes A,BKR,4/30/2021 0:00,20.08
Toyota Motor ADR,TM,4/30/2021 0:00,150.77
Western Union,WU,4/30/2021 0:00,25.76
Canon ADR,CAJ,4/30/2021 0:00,23.73
Hess,HES,4/30/2021 0:00,74.51
Yum! Brands,YUM,4/30/2021 0:00,119.52
Marsh McLennan,MMC,4/30/2021 0:00,135.7
Kyocera ADR,KYOCY,4/30/2021 0:00,60.6
Kellogg,K,4/30/2021 0:00,62.42
Kimco,KIM,4/30/2021 0:00,21
Ecolab,ECL,4/30/2021 0:00,224.12
Nordstrom,JWN,4/30/2021 0:00,36.68
EOG Resources,EOG,4/30/2021 0:00,73.64
Newell Brands,NWL,4/30/2021 0:00,26.96
Aon,AON,4/30/2021 0:00,251.44
Hasbro,HAS,4/30/2021 0:00,99.45
Bank of NY Mellon,BK,4/30/2021 0:00,49.88
Wipro ADR,WIT,4/30/2021 0:00,7.16
Schlumberger,SLB,4/30/2021 0:00,27.05
Walgreens Boots,WBA,4/30/2021 0:00,53.1
Rockwell Automation,ROK,4/30/2021 0:00,264.26
PepsiCo,PEP,4/30/2021 0:00,144.16
UnitedHealth,UNH,4/30/2021 0:00,398.8
Teradyne,TER,4/30/2021 0:00,125.08
Murphy Oil,MUR,4/30/2021 0:00,16.93
Mizuho Financial ADR,MFG,4/30/2021 0:00,2.91
Dillards,DDS,4/30/2021 0:00,98.91
Danaher,DHR,4/30/2021 0:00,253.94
FLIR Systems,FLIR,4/30/2021 0:00,59.97
SunPower,SPWR,4/30/2021 0:00,25.69
Seagate,STX,4/30/2021 0:00,92.84
Agilent Technologies,A,4/30/2021 0:00,133.64
Cemex ADR,CX,4/30/2021 0:00,7.89
Delta Air Lines,DAL,4/30/2021 0:00,46.92
Macy’s Inc,M,4/30/2021 0:00,16.58
Moodys,MCO,4/30/2021 0:00,326.71
Nike,NKE,4/30/2021 0:00,132.62
Dr Reddys Labs,RDY,4/30/2021 0:00,69.02
Lindsay,LNN,4/30/2021 0:00,165.78
Procter&Gamble,PG,4/30/2021 0:00,133.42
Weyerhaeuser,WY,4/30/2021 0:00,38.77
ADP,ADP,4/30/2021 0:00,186.99
Denbury Resources,DNR,4/30/2021 0:00,54.41
Allscripts,MDRX,4/30/2021 0:00,15.56
Reliance Steel&Aluminum,RS,4/30/2021 0:00,160.31
SSR Mining,SSRM,4/30/2021 0:00,15.86
Southwestern Energy,SWN,4/30/2021 0:00,4.27
Carter’s,CRI,4/30/2021 0:00,108.79
Keurig Dr Pepper,KDP,4/30/2021 0:00,35.85
Lowe’s,LOW,4/30/2021 0:00,196.25
Middleby Corp,MIDD,4/30/2021 0:00,181.32
Vale ADR,VALE,4/30/2021 0:00,20.12
United Airlines Holdings,UAL,4/30/2021 0:00,54.4
Netflix,NFLX,4/30/2021 0:00,513.47
News Corp,NWS,4/30/2021 0:00,24.31
Tupperware Brands,TUP,4/30/2021 0:00,24.37
Equinix,EQIX,4/30/2021 0:00,720.76
Cerner,CERN,4/30/2021 0:00,75.05
China Green Agriculture,CGA,4/30/2021 0:00,13.69
Booking,BKNG,4/30/2021 0:00,2466.1
O’Reilly Automotive,ORLY,4/30/2021 0:00,552.88
Seattle Genetics,SGEN,4/30/2021 0:00,143.76
BlackRock,BLK,4/30/2021 0:00,819.3
Cabot,CCMP,4/30/2021 0:00,183.43
CME Group,CME,4/30/2021 0:00,201.99
Illumina,ILMN,4/30/2021 0:00,392.84
JB Hunt,JBHT,4/30/2021 0:00,170.71
Loews,L,4/30/2021 0:00,55.75
Maxim,MXIM,4/30/2021 0:00,94
Rogers Communications,RCI,4/30/2021 0:00,49.23
Urban Outfitters,URBN,4/30/2021 0:00,35.9
EW Scripps A,SSP,4/30/2021 0:00,21.62
Oshkosh,OSK,4/30/2021 0:00,124.43
NextEra Energy,NEE,4/30/2021 0:00,77.51
Sprott Physical Gold and Silver Trust,CEF,4/30/2021 0:00,18.17
First Solar,FSLR,4/30/2021 0:00,76.53
Mylan,MYL,4/30/2021 0:00,13.3
Makita,MKTAY,4/30/2021 0:00,45.12
Mitsui & Company,MITSY,4/30/2021 0:00,420.75
World Poker Fund Holdings,WPFH,4/30/2021 0:00,0.1
F5 Networks,FFIV,4/30/2021 0:00,186.76
Edwards Lifesciences,EW,4/30/2021 0:00,95.52
News Corp A,NWSA,4/30/2021 0:00,26.19
Alexion,ALXN,4/30/2021 0:00,168.68
Amphenol,APH,4/30/2021 0:00,67.34
Berkshire Hathaway B,BRKb,4/30/2021 0:00,274.95
Cabot Oil&Gas,COG,4/30/2021 0:00,16.67
CarMax,KMX,4/30/2021 0:00,133.24
Chipotle Mexican Grill,CMG,4/30/2021 0:00,1492.03
DaVita,DVA,4/30/2021 0:00,116.53
Adtalem Education,ATGE,4/30/2021 0:00,34.31
EQT,EQT,4/30/2021 0:00,19.1
FMC,FMC,4/30/2021 0:00,118.24
TechnipFMC,FTI,4/30/2021 0:00,7.4
Flowserve,FLS,4/30/2021 0:00,39.64
GameStop Corp,GME,4/30/2021 0:00,173.59
L3Harris Technologies,LHX,4/30/2021 0:00,209.23
Healthpeak Properties,PEAK,4/30/2021 0:00,34.34
